id,source,question,freeze_datetime,resolution_date,outcome,p_h,p_he,n_evidence,brier_h,brier_he,brier_delta,z,abs_z
meteofrance_TEMPERATURE_celsius.07027.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Caen – Carpiquet Airport will be higher on 2025-11-25 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.25,0.25,8,0.0625,0.0625,0.0,0.0,0.0
FRT,yfinance,"Will FRT's market close price on 2026-01-24 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2026-01-24,1.0,0.58,0.72,8,0.17640000000000003,0.07840000000000001,0.09800000000000002,0.3333333333333333,0.3333333333333333
61c0fb3703e68cee2439afd5c2d71522bc6649a1fa154491f58981456fa8ab68,wikipedia,"According to Wikipedia, will Aaron Peirsol still hold the world record for 200m backstroke in long course (50 metres) swimming pools on 2026-04-24?",2025-10-16T00:00:00+00:00,2026-04-24,1.0,0.62,0.92,8,0.1444,0.006399999999999993,0.138,0.7894736842105264,0.7894736842105264
meteofrance_TEMPERATURE_celsius.07181.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Nancy – Ochey Air Base will be higher on 2025-11-02 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-02,1.0,0.35,0.35,8,0.42250000000000004,0.42250000000000004,0.0,0.0,0.0
meteofrance_TEMPERATURE_celsius.61970.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Juan de Nova Island will be higher on 2026-01-24 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-01-24,1.0,0.78,0.72,8,0.04839999999999999,0.07840000000000001,-0.03000000000000002,-0.07692307692307698,0.07692307692307698
PFE,yfinance,"Will PFE's market close price on 2025-11-25 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2025-11-25,1.0,0.52,0.58,8,0.2304,0.17640000000000003,0.053999999999999965,0.12499999999999989,0.12499999999999989
BAMLH0A2HYB,fred,"Will the option-adjusted spread of securities with an investment grade rating of B in the ICE BofA US High Yield Master II Index, which tracks the performance of corporate debt below investment grade in the US domestic market, have increased by 2026-01-24 as compared to its value on 2025-10-26?",2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.48,0.35,8,0.2304,0.12249999999999998,0.10790000000000001,-0.27083333333333337,0.27083333333333337
c097d5216ff8068a20a5c9592860a003ccc06dd4eb7da842d86c3816a68c3ab6,wikipedia,"According to Wikipedia, will Gukesh Dommaraju have a FIDE ranking on 2025-11-02 as high or higher than their ranking on 2025-10-26?",2025-10-16T00:00:00+00:00,2025-11-02,1.0,0.55,0.98,8,0.20249999999999996,0.0004000000000000007,0.20209999999999995,0.9555555555555555,0.9555555555555555
beccd776bdc07315be25d08c346969bdd986c7dae80302f14d3b1892fa674ecc,wikipedia,"According to Wikipedia, will Fabiano Caruana have an Elo rating on 2026-04-24 that's at least 1% higher than on 2025-10-26?",2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.52,0.05,8,0.27040000000000003,0.0025000000000000005,0.2679,-0.9038461538461539,0.9038461538461539
0x62b0cd598091a179147acbd4616400f804acfdff6f76f029944b481b37cbd45f,polymarket,US x Venezuela military engagement by December 31?,2025-10-16T00:00:00+00:00,2025-12-31,0.0,0.08,0.0,8,0.0064,0.0,0.0064,-1.0,1.0
24f48970b33655db3ef398f3f7e2b1312ff8f6a15ee8215caedefc18968d77ee,acled,"Will there be more 'Strategic developments' in Kenya for the 30 days before 2025-11-02 compared to the 30-day average of 'Strategic developments' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.48,0.45,8,0.2304,0.2025,0.02789999999999998,-0.062499999999999944,0.062499999999999944
GNRC,yfinance,"Will GNRC's market close price on 2025-11-02 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.5,0.58,8,0.25,0.3364,-0.08639999999999998,0.15999999999999992,0.15999999999999992
DTB6,fred,Will the Federal Reserve's 6-month secondary market treasury bill rate have increased by 2026-01-24 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.52,0.25,8,0.27040000000000003,0.0625,0.20790000000000003,-0.5192307692307693,0.5192307692307693
TOTCI,fred,Will the total dollar amount representing all commercial and industrial loans made by commercial banks in the US have increased by 2026-04-24 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-04-24,1.0,0.68,0.92,8,0.10239999999999996,0.006399999999999993,0.09599999999999997,0.7500000000000001,0.7500000000000001
SOFR90DAYAVG,fred,Will the 90-day average of the Federal Reserve's Secured Overnight Financing Rate have increased by 2026-01-24 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.35,0.45,8,0.12249999999999998,0.2025,-0.08000000000000003,0.15384615384615388,0.15384615384615388
0x56a161fce05c462bbe64fdf80b83f720406150b11ae2d35c94907ac3d0eace80,polymarket,Will Zohran Mamdani win second place in the 2025 NYC mayoral election?,2025-10-16T00:00:00+00:00,2025-11-04,0.0,0.08,0.0,8,0.0064,0.0,0.0064,-1.0,1.0
MHK,yfinance,"Will MHK's market close price on 2026-01-24 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2026-01-24,1.0,0.55,0.35,8,0.20249999999999996,0.42250000000000004,-0.22000000000000008,-0.3636363636363637,0.3636363636363637
d4fd9e41e71c3e5a2992b9c8b36ff655eb7265b7a46a434484f1267eabd59b92,wikipedia,"According to Wikipedia, will Gukesh D have an Elo rating on 2025-11-25 that's at least 1% higher than on 2025-10-26?",2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.25,0.05,8,0.0625,0.0025000000000000005,0.06,-0.8,0.8
c677c77ae293deb8ec68f74fa184fcd0ce5edd2636f5a4c193eb16f6bf8a829d,acled,"Will there be more than ten times as many 'Strategic developments' in New Caledonia for the 30 days before 2025-11-25 compared to one plus the 30-day average of 'Strategic developments' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.15,0.35,8,0.0225,0.12249999999999998,-0.09999999999999998,0.23529411764705882,0.23529411764705882
CARR,yfinance,"Will CARR's market close price on 2026-01-24 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.52,0.72,8,0.27040000000000003,0.5184,-0.24799999999999994,0.4166666666666666,0.4166666666666666
b6731f4873a909384d27d0ffdc950be2060df2966878f2b2edf8ab4d8fbae363,acled,"Will there be more than ten times as many 'Violence against civilians' in Kosovo for the 30 days before 2026-01-24 compared to one plus the 30-day average of 'Violence against civilians' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.15,0.15,8,0.0225,0.0225,0.0,0.0,0.0
DFII10,fred,"Will the market yield on US treasury securities at 10-year constant maturity, quoted on an investment basis and inflation-indexed, have increased by 2026-04-24 as compared to its value on 2025-10-26?",2025-10-16T00:00:00+00:00,2026-04-24,1.0,0.48,0.55,8,0.27040000000000003,0.20249999999999996,0.06790000000000007,0.13461538461538472,0.13461538461538472
SNDR,fred,Will the aggregated value of US national average interest rates for savings accounts have increased by 2026-04-24 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.42,0.02,8,0.17639999999999997,0.0004,0.17599999999999996,-0.9523809523809523,0.9523809523809523
8b2f4815aef61f9a0b81fce8bbc17136c8e6487509ceb57fcb3a54dff30b17f1,acled,"Will there be more than ten times as many 'Violence against civilians' in Venezuela for the 30 days before 2025-11-25 compared to one plus the 30-day average of 'Violence against civilians' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.15,0.25,8,0.0225,0.0625,-0.04,0.11764705882352942,0.11764705882352942
0x310c3d08f015157ec78e04f3f4fefed659b5e2bd88ae80cb38ff27ef970c39bd,polymarket,OpenAI announces it has achieved AGI in 2025?,2025-10-16T00:00:00+00:00,2025-12-31,0.0,0.12,0.05,8,0.0144,0.0025000000000000005,0.011899999999999999,-0.5833333333333333,0.5833333333333333
DFII5,fred,"Will the market yield on US treasury securities at 5-year constant maturity, quoted on an investment basis and inflation-indexed, have increased by 2025-11-02 as compared to its value on 2025-10-26?",2025-10-16T00:00:00+00:00,2025-11-02,1.0,0.5,0.5,8,0.25,0.25,0.0,0.0,0.0
EBAY,yfinance,"Will EBAY's market close price on 2025-11-02 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.51,0.25,8,0.2601,0.0625,0.1976,-0.5098039215686274,0.5098039215686274
fcd4c9217f96859652fff6e6d4ebb518a52bbd2e7a696f6fd31b9422a493b4ff,wikipedia,"According to Wikipedia, will a vaccine have been developed for Vibrio parahaemolyticus enteritis by 2026-04-24?",2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.08,0.08,8,0.0064,0.0064,0.0,0.0,0.0
H41RESPPALDKXAWNWW,fred,Will the weekly average of the amount of money loaned as part of the Bank Term Funding Program have increased by 2025-11-25 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.15,0.02,8,0.0225,0.0004,0.022099999999999998,-0.8666666666666667,0.8666666666666667
242e17fa4cf02fba614df523a64f8527f7776f3443e6281386b5eddcd84a097c,wikipedia,"According to Wikipedia, will Hans Niemann have a FIDE ranking on 2026-01-24 as high or higher than their ranking on 2025-10-26?",2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.68,0.05,8,0.4624000000000001,0.0025000000000000005,0.4599000000000001,-0.926470588235294,0.926470588235294
0x1985caaa507a1de1c390b2c4957e5535cb530634bd7bb4c5c1e75fbd6cc22e64,polymarket,Trump removed via 25th Amendment in 2025?,2025-10-16T00:00:00+00:00,2025-12-31,0.0,0.02,0.02,8,0.0004,0.0004,0.0,0.0,0.0
e5af3a39adde513b9951423acd136679dec9a6cd95d8f5a1cd5624f1d169481c,acled,"Will there be more than ten times as many fatalities in Iran for the 30 days before 2025-11-25 compared to one plus the 30-day average of fatalities over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.12,0.15,8,0.0144,0.0225,-0.0081,0.03409090909090909,0.03409090909090909
OVXCLS,fred,Will the Chicago Board Options Exchange's Crude Oil ETF Volatility Index have increased by 2025-11-25 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.48,0.72,8,0.2304,0.5184,-0.288,0.4615384615384615,0.4615384615384615
5d675aaaef89c7e9b340de20f164638503d97a39dcac53d5db6762f613f2c591,wikipedia,"According to Wikipedia, will Anna Muzychuk have a FIDE ranking on 2026-04-24 as high or higher than their ranking on 2025-10-26?",2025-10-16T00:00:00+00:00,2026-04-24,1.0,0.55,0.05,8,0.20249999999999996,0.9025,-0.7,-0.9090909090909091,0.9090909090909091
AMGN,yfinance,"Will AMGN's market close price on 2026-01-24 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2026-01-24,1.0,0.54,0.82,8,0.21159999999999995,0.03240000000000002,0.17919999999999994,0.6086956521739129,0.6086956521739129
meteofrance_TEMPERATURE_celsius.61972.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Europa Island will be higher on 2025-11-02 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-02,1.0,0.51,0.52,8,0.24009999999999998,0.2304,0.009699999999999986,0.02040816326530614,0.02040816326530614
HWM,yfinance,"Will HWM's market close price on 2025-11-02 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2025-11-02,1.0,0.51,0.52,8,0.24009999999999998,0.2304,0.009699999999999986,0.02040816326530614,0.02040816326530614
674ebd85626e739eb7a4b759c8afd13b9cb1900902fda976750ce2fa104c1573,acled,"Will there be more than ten times as many 'Battles' in Bulgaria for the 30 days before 2025-11-25 compared to one plus the 30-day average of 'Battles' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Battles'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Battles' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Battles' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.08,0.02,8,0.0064,0.0004,0.006,-0.75,0.75
WM,yfinance,"Will WM's market close price on 2025-11-25 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2025-11-25,1.0,0.54,0.52,8,0.21159999999999995,0.2304,-0.01880000000000004,-0.03703703703703707,0.03703703703703707
meteofrance_TEMPERATURE_celsius.07280.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Dijon-Bourgogne Airport will be higher on 2026-01-24 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.15,0.15,8,0.0225,0.0225,0.0,0.0,0.0
4093ea3dcb75afc668a669812c21296be9ce9b93593413b060d51c61133ac505,wikipedia,"According to Wikipedia, will a vaccine have been developed for Human bocavirus infection by 2026-01-24?",2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.08,0.08,8,0.0064,0.0064,0.0,0.0,0.0
OBMMIJUMBO30YF,fred,Will the 30-year fixed rate jumbo mortgage index have increased by 2026-01-24 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.45,0.25,8,0.2025,0.0625,0.14,-0.4444444444444445,0.4444444444444445
c37effa43385e2f5a9a91bc99a278ac376fb8f10f1e11ea39fb621bfbf6e2c2f,wikipedia,"According to Wikipedia, will Viswanathan Anand have a FIDE ranking on 2025-11-02 as high or higher than their ranking on 2025-10-26?",2025-10-16T00:00:00+00:00,2025-11-02,1.0,0.92,0.98,8,0.006399999999999993,0.0004000000000000007,0.005999999999999992,0.7499999999999997,0.7499999999999997
